Sospirolo comune,Sospirolo comune.1
,
Sospirolo – Veduta,Sospirolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Livia Cadore (lista civica di centro-sinistra Progetto Sospirolo) dal 26-5-2025
Territorio,Territorio
Coordinate,46°08′N 12°05′E
Altitudine,447 m s.l.m.
Superficie,"65,86 km²"
Abitanti,3 134[1] (30-11-2025)
Densità,"47,59 ab./km²"
Frazioni,"Gron, Maras, Mis, Oregne, Pascoli, Piz-Camolino, San Gottardo, San Zenon, Susin, Torbe"
Comuni confinanti,"Cesiomaggiore, Gosaldo, Rivamonte Agordino, San Gregorio nelle Alpi, Santa Giustina, Sedico"
Altre informazioni,Altre informazioni
Cod. postale,32037
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025056
Cod. catastale,I866
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 290 GG[3]"
Nome abitanti,sospirolesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Sospirolo,Sospirolo
Sospirolo – MappaPosizione del comune di Sospirolo nella provincia di Belluno,Sospirolo – MappaPosizione del comune di Sospirolo nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
