Cencenighe Agordino comune,Cencenighe Agordino comune.1
,
Cencenighe Agordino – Veduta,Cencenighe Agordino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Mauro Soppelsa (lista civica) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,46°20′38.4″N 11°58′28″E
Altitudine,773 m s.l.m.
Superficie,"18,13[1] km²"
Abitanti,1 205[2] (30-11-2025)
Densità,"66,46 ab./km²"
Frazioni,"Anime, Avoscan, Baldo, Balestier, Bastiani, Bogo, Bolp, Bricol, Campo, Cavarzan, Chenet, Chioipe, Chioit, Coi, Collesin, Collaz, Faè, Foch, Ghirlo, Ghisel, Grave, I Lares, Lorenzon, Malos, Martin, Martinazze, Morbiach, Palù, Pascol, Pian dell'Avena, Pradimezzo, Pradisopra, Roa, Vare Alte, Vare Basse, Veronetta, Villagrande[3]"
Comuni confinanti,"Canale d'Agordo, San Tomaso Agordino, Taibon Agordino, Vallada Agordina"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025010
Cod. catastale,C458
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 805 GG[5]"
Nome abitanti,cencenighesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Cencenighe Agordino,Cencenighe Agordino
Cencenighe Agordino – MappaPosizione del comune di Cencenighe Agordino nella provincia di Belluno,Cencenighe Agordino – MappaPosizione del comune di Cencenighe Agordino nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
