Lamon comune,Lamon comune.1
,
Lamon – Veduta,Lamon – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Gianpaola Modolo (commissario prefettizio) dal 20-1-2026
Territorio,Territorio
Coordinate,46°03′N 11°45′E
Altitudine,594 m s.l.m.
Superficie,"54,36[1] km²"
Abitanti,2 578[2] (30-11-2025)
Densità,"47,42 ab./km²"
Frazioni,"Arina, San Donato"
Comuni confinanti,"Arsiè, Canal San Bovo (TN), Castello Tesino (TN), Cinte Tesino (TN), Fonzaso, Sovramonte"
Altre informazioni,Altre informazioni
Cod. postale,32033
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,025026
Cod. catastale,E429
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 522 GG[4]"
Nome abitanti,lamonesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Lamon,Lamon
Lamon – MappaPosizione del comune di Lamon nella provincia di Belluno,Lamon – MappaPosizione del comune di Lamon nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
