Fonzaso comune,Fonzaso comune.1
,
Fonzaso – Veduta,Fonzaso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Christian Pasa (lista civica Bene comune) dal 13-6-2022
Territorio,Territorio
Coordinate,46°01′N 11°48′E
Altitudine,329 m s.l.m.
Superficie,"27,62 km²"
Abitanti,2 967[1] (30-11-2025)
Densità,"107,42 ab./km²"
Frazioni,"Agana, Arten, Frassenè, Giaroni Località: Calderal, Case Balzan, Pederoncon[2]"
Comuni confinanti,"Arsiè, Feltre, Lamon, Pedavena, Seren del Grappa, Sovramonte"
Altre informazioni,Altre informazioni
Cod. postale,32030
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,025022
Cod. catastale,D686
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 104 GG[4]"
Nome abitanti,fonzasini
Cartografia,Cartografia
Fonzaso,Fonzaso
Fonzaso – MappaPosizione del comune di Fonzaso nella provincia di Belluno,Fonzaso – MappaPosizione del comune di Fonzaso nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
