San Tomaso Agordino comune,San Tomaso Agordino comune.1
,
San Tomaso Agordino – Veduta,San Tomaso Agordino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Moreno De Val (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°23′N 11°59′E
Altitudine,1 082 m s.l.m.
Superficie,"19,18 km²"
Abitanti,596[1] (30-11-2025)
Densità,"31,07 ab./km²"
Frazioni,"Avoscan (ladino: Aoscian), Canacede (ladino: Cianazede), Celat (sede comunale), Chiea, Colarù, Colzaresè, Costa di Mezzo, Costoia, Fontanelle, Forchiade, La Costa, L'Ancona, Mezzavalle, Pecol, Piaia, Pianezze, Pian Molin, Roi, Ronch, Sot Colarù, Tocol, Val, Val di Zat, Vallata, Vare"
Comuni confinanti,"Alleghe, Cencenighe Agordino, Rocca Pietore, Taibon Agordino, Vallada Agordina"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025049
Cod. catastale,I347
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 292 GG[3]"
Nome abitanti,santomasini
Patrono,San Tommaso Apostolo
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
San Tomaso Agordino,San Tomaso Agordino
San Tomaso Agordino – MappaPosizione del comune di San Tomaso Agordino nella provincia di Belluno,San Tomaso Agordino – MappaPosizione del comune di San Tomaso Agordino nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
