Borca di Cadore comune,Borca di Cadore comune.1
,
Borca di Cadore – VedutaBorca di Cadore,Borca di Cadore – VedutaBorca di Cadore
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Bortolo Sala (lista civica Insieme per Borca) dal 30-3-2010 (3º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,46°26′11.12″N 12°13′10.55″E
Altitudine,942 m s.l.m.
Superficie,"26,76 km²"
Abitanti,790[1] (30-11-2025)
Densità,"29,52 ab./km²"
Frazioni,"Cancia, Corte, Villanova"
Comuni confinanti,"Calalzo di Cadore, San Vito di Cadore, Selva di Cadore, Val di Zoldo, Vodo di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025007
Cod. catastale,A982
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 072 GG[3]"
Nome abitanti,borcesi
Patrono,san Simone
Giorno festivo,28 ottobre
Cartografia,Cartografia
Borca di Cadore,Borca di Cadore
Borca di Cadore – MappaPosizione del comune di Borca di Cadore nella provincia di Belluno,Borca di Cadore – MappaPosizione del comune di Borca di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
