Lorenzago di Cadore comune,Lorenzago di Cadore comune.1
,
Lorenzago di Cadore – VedutaLorenzago di Cadore visto da Pian dei Buoi,Lorenzago di Cadore – VedutaLorenzago di Cadore visto da Pian dei Buoi
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Marco D'Ambros (lista civica Siamo Lorenzago) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°28′46.65″N 12°27′33.85″E
Altitudine,883 m s.l.m.
Superficie,"27,35[1] km²"
Abitanti,527[2] (30-11-2025)
Densità,"19,27 ab./km²"
Comuni confinanti,"Domegge di Cadore, Forni di Sopra (UD), Lozzo di Cadore, Vigo di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025032
Cod. catastale,E687
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 982 GG[4]"
Nome abitanti,lorenzaghesi
Patrono,santi Ermagora e Fortunato
Giorno festivo,12 luglio
Cartografia,Cartografia
Lorenzago di Cadore,Lorenzago di Cadore
Lorenzago di Cadore – MappaPosizione del comune di Lorenzago di Cadore nella provincia di Belluno,Lorenzago di Cadore – MappaPosizione del comune di Lorenzago di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
