Ospitale di Cadore comune,Ospitale di Cadore comune.1
,
Ospitale di Cadore – VedutaVeduta di Ospitale di Cadore,Ospitale di Cadore – VedutaVeduta di Ospitale di Cadore
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Roberto Santin (lista civica Uniti per Ospitale) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°19′45″N 12°19′27″E
Altitudine,490 m s.l.m.
Superficie,"39,78 km²"
Abitanti,259[1] (30-11-2025)
Densità,"6,51 ab./km²"
Frazioni,"Davestra, Rivalgo, Termine"
Comuni confinanti,"Cibiana di Cadore, Erto e Casso (PN), Longarone, Perarolo di Cadore, Val di Zoldo, Valle di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32010
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025035
Cod. catastale,G169
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 484 GG[3]"
Nome abitanti,"ospitalesi, ospitalini"
Patrono,Santissima Trinità
Cartografia,Cartografia
Ospitale di Cadore,Ospitale di Cadore
Ospitale di Cadore – MappaPosizione del comune di Ospitale di Cadore nella provincia di Belluno,Ospitale di Cadore – MappaPosizione del comune di Ospitale di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
