Comelico Superiore comune,Comelico Superiore comune.1
,
Comelico Superiore – Veduta,Comelico Superiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Marco Staunovo Polacco (lista civica Crediamo nel Comelico) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°35′19.79″N 12°31′00.67″E
Altitudine,1 210 m s.l.m.
Superficie,"96,15 km²"
Abitanti,2 060[1] (30-11-2025)
Densità,"21,42 ab./km²"
Frazioni,"Candide (sede comunale), Casamazzagno, Dosoledo, Padola"
Comuni confinanti,"Auronzo di Cadore, Danta di Cadore, Kartitsch (AT-7), San Nicolò di Comelico, Sesto (BZ)"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025015
Cod. catastale,C920
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 496 GG[3]"
Nome abitanti,comeliani
Cartografia,Cartografia
Comelico Superiore,Comelico Superiore
Comelico Superiore – MappaPosizione del comune di Comelico Superiore nella provincia di Belluno,Comelico Superiore – MappaPosizione del comune di Comelico Superiore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
