Alpago comune,Alpago comune.1
,
Alpago – VedutaIl Lago di Santa Croce e la conca dell'Alpago,Alpago – VedutaIl Lago di Santa Croce e la conca dell'Alpago
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Capoluogo,Pieve d'Alpago
Sindaco,Alberto Peterle (lista civica Obiettivo Alpago) dal 4-10-2021
Data di istituzione,23 febbraio 2016
Territorio,Territorio
Coordinate del capoluogo,46°07′34.68″N 12°21′09″E
Altitudine,690 m s.l.m.
Superficie,"80,34 km²"
Abitanti,6 587[1] (30-11-2025)
Densità,"81,99 ab./km²"
Frazioni,"Bastia, Buscole, Campon, Cornei, Curago, Farra d'Alpago, Foran, Garna, Lastra, Paludi, Pian Cansiglio, Pian Osteria, Pianture, Pieve d'Alpago (sede comunale), Plois, Poiatte, Puos d'Alpago, Quers, Santa Croce del Lago, Schiucaz, Sitran, Sommacosta, Spert, Tignes, Tomas, Torch, Torres, Valzella, Villa, Villaggio Riviera, Villanova,"
Comuni confinanti,"Belluno, Chies d'Alpago, Claut (PN), Erto e Casso (PN), Fregona (TV), Ponte nelle Alpi, Soverzene, Tambre, Vittorio Veneto (TV)"
Altre informazioni,Altre informazioni
Lingue,"italiano, veneto"
Cod. postale,32016
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025072
Cod. catastale,M375
Targa,BL
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 225 GG[3]"
Nome abitanti,alpagotti
Patrono,san Vigilio
Giorno festivo,26 giugno
Cartografia,Cartografia
Pieve d'Alpago,Pieve d'Alpago
Alpago – MappaPosizione del comune di Alpago nella provincia di Belluno,Alpago – MappaPosizione del comune di Alpago nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
