Cesiomaggiore comune,Cesiomaggiore comune.1
,
Cesiomaggiore – Veduta,Cesiomaggiore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Carlo Zanella (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,46°05′N 11°59′E
Altitudine,479 m s.l.m.
Superficie,"82,1 km²"
Abitanti,3 958[1] (30-11-2025)
Densità,"48,21 ab./km²"
Frazioni,"Col San Vito, Busche, Can, Calliol, Cesio Minore, Cullogne, Fianema, Marsiai, Menin, Morzanch, Pez, Pullir, Soranzen"
Comuni confinanti,"Borgo Valbelluna, Feltre, Gosaldo, Mezzano (TN), Primiero San Martino di Castrozza (TN), Sagron Mis (TN), San Gregorio nelle Alpi, Santa Giustina, Sospirolo"
Altre informazioni,Altre informazioni
Cod. postale,32030
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,025011
Cod. catastale,C577
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 341 GG[3]"
Nome abitanti,cesiolini
Patrono,santa Giuliana e sant'Agapito
Giorno festivo,16 febbraio
Cartografia,Cartografia
Cesiomaggiore,Cesiomaggiore
Cesiomaggiore – MappaPosizione del comune di Cesiomaggiore nella provincia di Belluno,Cesiomaggiore – MappaPosizione del comune di Cesiomaggiore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
