Gosaldo comune,Gosaldo comune.1
,
Gosaldo – VedutaVista della frazione di Tiser,Gosaldo – VedutaVista della frazione di Tiser
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Stefano Da Zanche (lista civica Viviamo Gosaldo) dal 22-9-2020
Territorio,Territorio
Coordinate,46°13′20″N 11°57′24″E
Altitudine,1 141 m s.l.m.
Superficie,"48,48 km²"
Abitanti,512[1] (30-11-2025)
Densità,"10,56 ab./km²"
Frazioni,"Villa Sant'Andrea, Forcella Aurine, Don (sede comunale), Sarasin, Tiser, Lambroi, Pongan, Renon, Curti, Le Feste, Coltamai-Ren, Pette, Bezzoi, Zavat, Masoch, Stalliviere"
Comuni confinanti,"Cesiomaggiore, Primiero San Martino di Castrozza (TN), Rivamonte Agordino, Sagron Mis (TN), Sedico, Sospirolo, Taibon Agordino, Voltago Agordino"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025025
Cod. catastale,E113
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 4 622 GG[3]"
Nome abitanti,gosaldini
Patrono,Beata Vergine Addolorata
Giorno festivo,15 settembre
Cartografia,Cartografia
Gosaldo,Gosaldo
Gosaldo – MappaPosizione del comune di Gosaldo nella provincia di Belluno,Gosaldo – MappaPosizione del comune di Gosaldo nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
