Soverzene comune,Soverzene comune.1
,
Soverzene – VedutaLago della Val Gallina,Soverzene – VedutaLago della Val Gallina
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Gianni Burigo (lista civica di centro-sinistra) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,46°12′15″N 12°18′11″E
Altitudine,424 m s.l.m.
Superficie,"14,79 km²"
Abitanti,363[1] (30-11-2025)
Densità,"24,54 ab./km²"
Comuni confinanti,"Alpago, Erto e Casso (PN), Longarone, Ponte nelle Alpi"
Altre informazioni,Altre informazioni
Cod. postale,32010
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025057
Cod. catastale,I876
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 271 GG[3]"
Nome abitanti,soverzenesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Soverzene,Soverzene
Soverzene – MappaPosizione del comune di Soverzene nella provincia di Belluno,Soverzene – MappaPosizione del comune di Soverzene nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
