Longarone comune,Longarone comune.1
,
Longarone – Veduta,Longarone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Roberto Padrin (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°16′N 12°18′E
Altitudine,473 m s.l.m.
Superficie,"122,36[1] km²"
Abitanti,4 994[2] (30-11-2025)
Densità,"40,81 ab./km²"
Frazioni,"Castellavazzo, Codissago, Dogna, Faè, Fortogna, Igne, Olantreghe, Pirago, Muda, Maè, Podenzoi, Provagna, Rivalta, Roggia, Soffranco[3]"
Comuni confinanti,"Belluno, Erto e Casso (PN), La Valle Agordina, Ospitale di Cadore, Ponte nelle Alpi, Sedico, Soverzene, Val di Zoldo"
Altre informazioni,Altre informazioni
Cod. postale,32013; 32010 (Castellavazzo)
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025071
Cod. catastale,M342
Targa,BL
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona F, 3 331 GG[5]"
Nome abitanti,longaronesi
Patrono,Santa Maria Immacolata
Giorno festivo,8 dicembre
Cartografia,Cartografia
Longarone,Longarone
Longarone – MappaPosizione del comune di Longarone nella provincia di Belluno,Longarone – MappaPosizione del comune di Longarone nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
