Santa Giustina comune,Santa Giustina comune.1
,
Santa Giustina – Veduta,Santa Giustina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Ivan Minella (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°05′01.98″N 12°02′35.66″E
Altitudine,"minima 306 - massima 2,187 m s.l.m."
Superficie,"35,92 km²"
Abitanti,6 615[1] (30-11-2025)
Densità,"184,16 ab./km²"
Frazioni,"Bivai, Callibago, Campel, Campo, Carfai, Casabellata, Cassol, Castel, Cergnai, Coldiferro, Colvago, al Cristo, Dussano, Fant, Formegan, Fornaci, Gravazze, Ignan, Lasserai, Marianne, Mas, Meano, Morzanch, Piovena, Salmenega, Salzan, San Martino, Santa Libera, Santa Margherita, San Vittore Veses, Sartena, Villa di Pria, Volpere[2]"
Comuni confinanti,"Borgo Valbelluna, Cesiomaggiore, San Gregorio nelle Alpi, Sedico, Sospirolo"
Altre informazioni,Altre informazioni
Cod. postale,32035
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025048
Cod. catastale,I206
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 071 GG[4]"
Nome abitanti,santagiustinesi
Patrono,santa Giustina di Padova
Giorno festivo,7 ottobre
Cartografia,Cartografia
Santa Giustina,Santa Giustina
Santa Giustina – MappaPosizione del comune di Santa Giustina nella provincia di Belluno,Santa Giustina – MappaPosizione del comune di Santa Giustina nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
