Arsiè comune,Arsiè comune.1
,
Arsiè – VedutaLago del Corlo con Rocca d'Arsiè,Arsiè – VedutaLago del Corlo con Rocca d'Arsiè
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Ivano Faoro (lista civica Ritorno al futuro) dal 10-6-2024
Territorio,Territorio
Coordinate,45°59′02.04″N 11°45′33.48″E
Altitudine,314 m s.l.m.
Superficie,"64,76 km²"
Abitanti,2 182[1] (30-11-2025)
Densità,"33,69 ab./km²"
Frazioni,"Fastro, Incino, Mellame, Rivai, Rocca, San Vito"
Comuni confinanti,"Castello Tesino (TN), Valbrenta (VI), Fonzaso, Grigno (TN), Lamon, Seren del Grappa"
Altre informazioni,Altre informazioni
Cod. postale,32030
Prefisso,0439
Fuso orario,UTC+1
Codice ISTAT,025004
Cod. catastale,A443
Targa,BL
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 063 GG[3]"
Nome abitanti,arsedesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Arsiè,Arsiè
Arsiè – MappaPosizione del comune di Arsiè nella provincia di Belluno,Arsiè – MappaPosizione del comune di Arsiè nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
