Taibon Agordino comune,Taibon Agordino comune.1
,
Taibon Agordino – Veduta,Taibon Agordino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Silvia Tormen (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°18′N 12°01′E
Altitudine,628 m s.l.m.
Superficie,"90,06 km²"
Abitanti,1 709[1] (30-11-2025)
Densità,"18,98 ab./km²"
Frazioni,"Brugnach, Campedel, Coi di Peden, Col de Carrera, Col di Prà, Coste, Forno di Val, Listolade, Peden, Ronch de Bos, San Cipriano, Serach, Soccol, Villanova[2]"
Comuni confinanti,"Agordo, Alleghe, Canale d'Agordo, Cencenighe Agordino, Gosaldo, Primiero San Martino di Castrozza (TN), San Tomaso Agordino, Voltago Agordino, Val di Zoldo"
Altre informazioni,Altre informazioni
Cod. postale,32027
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025059
Cod. catastale,L030
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 387 GG[4]"
Nome abitanti,"taibonesi, taibonèr"
Patrono,"santi Cornelio e Cipriano, san Lucano"
Cartografia,Cartografia
Taibon Agordino,Taibon Agordino
Taibon Agordino – MappaPosizione del comune di Taibon Agordino nella provincia di Belluno,Taibon Agordino – MappaPosizione del comune di Taibon Agordino nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
