Sedico comune,Sedico comune.1
,
Sedico – VedutaVista invernale della chiesa parrocchiale di Santa Maria Annunziata,Sedico – VedutaVista invernale della chiesa parrocchiale di Santa Maria Annunziata
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Christian Roldo (lista civica di centro-destra Per Sedico idea in comune) dal 10-6-2024
Territorio,Territorio
Coordinate,46°07′N 12°06′E
Altitudine,317 m s.l.m.
Superficie,"91,2 km²"
Abitanti,10 117[1] (30-11-2025)
Densità,"110,93 ab./km²"
Frazioni,"Barp, Bolago, Boscon, Bribano, Carmegn, Casoni, Cugnach, Gresal, Landris, Libano, Longano, Maieran, Mas, Meli, Noal, Pasa, Peron, Poian, Prapavei, Roe Alte, Roe Basse, Roncada, Seghe di Villa, Sommaval, la Stanga, Triva, Vignole, Villa, Villiago[2]"
Comuni confinanti,"Belluno, Borgo Valbelluna, Gosaldo, La Valle Agordina, Limana, Longarone, Rivamonte Agordino, Santa Giustina, Sospirolo"
Altre informazioni,Altre informazioni
Cod. postale,32036
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025053
Cod. catastale,I563
Targa,BL
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 085 GG[4]"
Nome abitanti,sedicensi
Patrono,Santa Maria Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Sedico,Sedico
Sedico – MappaPosizione del comune di Sedico nella provincia di Belluno,Sedico – MappaPosizione del comune di Sedico nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
