Agordo comune,Agordo comune.1
,
Agordo – Veduta,Agordo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Roberto Chissalè (lista civica Per Agordo) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,46°16′56″N 12°02′04″E
Altitudine,611 m s.l.m.
Superficie,"23,74[1] km²"
Abitanti,4 060[2] (30-11-2025)
Densità,"171,02 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"La Valle Agordina, Rivamonte Agordino, Taibon Agordino, Val di Zoldo, Voltago Agordino"
Altre informazioni,Altre informazioni
Cod. postale,32021
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025001
Cod. catastale,A083
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 376 GG[4]"
Nome abitanti,agordini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Agordo,Agordo
Agordo – MappaPosizione del comune di Agordo nella provincia di Belluno,Agordo – MappaPosizione del comune di Agordo nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
