Danta di Cadore comune,Danta di Cadore comune.1
,
Danta di Cadore – Veduta,Danta di Cadore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Thomas Menia Corbanese (lista civica La Danta di domani!) dal 10-6-2024
Data di istituzione,1843
Territorio,Territorio
Coordinate,46°33′57.7″N 12°31′02.29″E
Altitudine,1 398 m s.l.m.
Superficie,"7,95 km²"
Abitanti,422[1] (30-11-2025)
Densità,"53,08 ab./km²"
Comuni confinanti,"Auronzo di Cadore, Comelico Superiore, San Nicolò di Comelico, Santo Stefano di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025017
Cod. catastale,D247
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 793 GG[3]"
Nome abitanti,dantini
Patrono,Santi Rocco e Sebastiano
Cartografia,Cartografia
Danta di Cadore,Danta di Cadore
Danta di Cadore – MappaPosizione del comune di Danta di Cadore nella provincia di Belluno,Danta di Cadore – MappaPosizione del comune di Danta di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
