Selva di Cadore comune,Selva di Cadore comune.1
,
"Selva di Cadore – VedutaLa val Fiorentina: Selva di Cadore è il secondo paese sulla sinistra, con il campanile in evidenza; in lontananza, verso il centro, si notano Santa Fosca e Pescul.","Selva di Cadore – VedutaLa val Fiorentina: Selva di Cadore è il secondo paese sulla sinistra, con il campanile in evidenza; in lontananza, verso il centro, si notano Santa Fosca e Pescul."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Luca Lorenzini (lista civica Selva c'è!) dal 4-10-2021
Territorio,Territorio
Coordinate,46°27′04.99″N 12°02′04.29″E
Altitudine,1 335 m s.l.m.
Superficie,"33,33 km²"
Abitanti,507[1] (30-11-2025)
Densità,"15,21 ab./km²"
Frazioni,"l'Aiva, l'Andria, Bernart, Danuol, Costa, Franceschin, Fopa, Marin, Pescul, Pierobon, Roa, Santa Fosca, Solator, Tofol, Vila, Vidot, Zanata, Zardin, Zernadoi"
Comuni confinanti,"Alleghe, Borca di Cadore, Colle Santa Lucia, San Vito di Cadore, Val di Zoldo"
Altre informazioni,Altre informazioni
Lingue,italiano e ladino
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025054
Cod. catastale,I592
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 693 GG[3]"
Nome abitanti,silvani o selvani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Selva di Cadore,Selva di Cadore
Selva di Cadore – MappaPosizione del comune di Selva di Cadore nella provincia di Belluno,Selva di Cadore – MappaPosizione del comune di Selva di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
