Voltago Agordino comune,Voltago Agordino comune.1
,
Voltago Agordino – VedutaLa chiesa parrocchiale,Voltago Agordino – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Giuseppe Schena (lista civica Ricominciamo insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,46°15′34.91″N 11°58′41.26″E
Altitudine,858 m s.l.m.
Superficie,"23,47 km²"
Abitanti,788[1] (30-11-2025)
Densità,"33,57 ab./km²"
Frazioni,"Digoman, Frassené[2]"
Comuni confinanti,"Agordo, Gosaldo, Rivamonte Agordino, Taibon Agordino"
Altre informazioni,Altre informazioni
Cod. postale,32020
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025067
Cod. catastale,M124
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 971 GG[4]"
Nome abitanti,voltaghesi
Cartografia,Cartografia
Voltago Agordino,Voltago Agordino
Voltago Agordino – MappaPosizione del comune di Voltago Agordino nella provincia di Belluno,Voltago Agordino – MappaPosizione del comune di Voltago Agordino nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
