Rocca Piétore comune,Rocca Piétore comune.1
,
Rocca Piétore – VedutaParete nord del Civetta vista da Moè di Laste di Rocca Pietore,Rocca Piétore – VedutaParete nord del Civetta vista da Moè di Laste di Rocca Pietore
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Valerio Davare (lista civica Duc Auna-Tutti insieme) dal 10-6-2024
Territorio,Territorio
Coordinate,46°26′01.92″N 11°58′37.78″E
Altitudine,1 143 m s.l.m.
Superficie,"73,29 km²"
Abitanti,1 115[1] (30-11-2025)
Densità,"15,21 ab./km²"
Frazioni,"Calloneghe, Laste (vedi sezione)"
Comuni confinanti,"Alleghe, Canale d'Agordo, Canazei (TN), Colle Santa Lucia, Falcade, Livinallongo del Col di Lana, San Tomaso Agordino, San Giovanni di Fassa (TN), Soraga di Fassa (TN), Vallada Agordina"
Altre informazioni,Altre informazioni
Lingue,Italiano e Ladino
Cod. postale,32023
Prefisso,0437
Fuso orario,UTC+1
Codice ISTAT,025044
Cod. catastale,H379
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 4 379 GG[3]"
Nome abitanti,rocchesani
Patrono,Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Rocca Piétore,Rocca Piétore
Rocca Piétore – MappaPosizione del comune di Rocca Pietore nella provincia di Belluno,Rocca Piétore – MappaPosizione del comune di Rocca Pietore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
