Vodo di Cadore comune,Vodo di Cadore comune.1
,
"Vodo di Cadore – VedutaPanoramica verso la Rocheta di Prendera, de la Ruoibes, Sorarù e Cianpolongo.","Vodo di Cadore – VedutaPanoramica verso la Rocheta di Prendera, de la Ruoibes, Sorarù e Cianpolongo."
Localizzazione,Localizzazione
Stato,Italia
Regione,Veneto
Provincia,Belluno
Amministrazione,Amministrazione
Sindaco,Domenico Belfi (lista civica) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,46°25′10.64″N 12°14′41.64″E
Altitudine,901 m s.l.m.
Superficie,"46,88[1] km²"
Abitanti,825[2] (30-11-2025)
Densità,"17,6 ab./km²"
Frazioni,"Peaio, Vinigo[3]"
Comuni confinanti,"Borca di Cadore, Calalzo di Cadore, Cibiana di Cadore, Pieve di Cadore, San Vito di Cadore, Val di Zoldo, Valle di Cadore, Zoppè di Cadore"
Altre informazioni,Altre informazioni
Cod. postale,32040
Prefisso,0435
Fuso orario,UTC+1
Codice ISTAT,025066
Cod. catastale,M108
Targa,BL
Cl. sismica,zona 3 (sismicità bassa)[4]
Nome abitanti,vodesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Vodo di Cadore,Vodo di Cadore
Vodo di Cadore – MappaPosizione del comune di Vodo di Cadore nella provincia di Belluno,Vodo di Cadore – MappaPosizione del comune di Vodo di Cadore nella provincia di Belluno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
