Acquasparta comune,Acquasparta comune.1
,
Acquasparta – Veduta,Acquasparta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Giovanni Montani (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°41′25.39″N 12°32′46.4″E
Altitudine,320 m s.l.m.
Superficie,"81,61 km²"
Abitanti,4 333[1] (30-11-2025)
Densità,"53,09 ab./km²"
Frazioni,"Canepine, Casigliano, Casteldelmonte, Configni, Firenzuola, Macerino, Portaria, Rosaro, Selvarelle, Scoppio"
Comuni confinanti,"Avigliano Umbro, Massa Martana (PG), Montecastrilli, Spoleto (PG), Terni, Todi (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05021
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055001
Cod. catastale,A045
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 947 GG[3]"
Nome abitanti,acquaspartani
Patrono,santa Cecilia
Giorno festivo,22 novembre
Cartografia,Cartografia
Acquasparta,Acquasparta
Acquasparta – MappaPosizione del comune di Acquasparta all'interno della provincia di Terni,Acquasparta – MappaPosizione del comune di Acquasparta all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
