Attigliano comune,Attigliano comune.1
,
Attigliano – Veduta,Attigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Leonardo Vincenzo Fazio (lista civica Polo per Attigliano) dal 22-9-2020
Territorio,Territorio
Coordinate,42°30′53.71″N 12°17′21.82″E
Altitudine,95 m s.l.m.
Superficie,"10,51 km²"
Abitanti,1 964[1] (30-11-2025)
Densità,"186,87 ab./km²"
Frazioni,"Bufalino, La Croce, La Piazza, La Stazione, Lo Stradone, Madonna delle Grazie"
Comuni confinanti,"Amelia, Bassano in Teverina (VT), Bomarzo (VT), Giove, Graffignano (VT), Lugnano in Teverina"
Altre informazioni,Altre informazioni
Cod. postale,05012
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055006
Cod. catastale,A490
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 872 GG[3]"
Nome abitanti,attiglianesi
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Attigliano,Attigliano
Attigliano – MappaPosizione del comune di Attigliano all'interno della provincia di Terni,Attigliano – MappaPosizione del comune di Attigliano all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
