Montecchio comune,Montecchio comune.1
,
Montecchio – Veduta,Montecchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Federico Gori (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Data di istituzione,1948
Territorio,Territorio
Coordinate,42°39′44.61″N 12°17′13.42″E
Altitudine,377 m s.l.m.
Superficie,"49,22 km²"
Abitanti,1 433[1] (30-11-2025)
Densità,"29,11 ab./km²"
Frazioni,"Melezzole, Tenaglie"
Comuni confinanti,"Avigliano Umbro, Baschi, Civitella d'Agliano (VT), Guardea, Orvieto, Todi (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05020
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055018
Cod. catastale,F462
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 051 GG[3]"
Nome abitanti,montecchiesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Montecchio,Montecchio
Montecchio – MappaPosizione del comune di Montecchio all'interno della provincia di Terni,Montecchio – MappaPosizione del comune di Montecchio all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
