Ferentillo comune,Ferentillo comune.1
,
Ferentillo – Veduta,Ferentillo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Elisabetta Cascelli (lista civica di centro-destra) dal 21-9-2020
Territorio,Territorio
Coordinate,42°37′14.01″N 12°47′24.26″E
Altitudine,260 m s.l.m.
Superficie,"69,59 km²"
Abitanti,1 757[1] (30-11-2025)
Densità,"25,25 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arrone, Leonessa (RI), Montefranco, Monteleone di Spoleto (PG), Polino, Scheggino (PG), Spoleto (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05034
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055012
Cod. catastale,D538
Targa,TR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 838 GG[3]"
Nome abitanti,ferentillesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Ferentillo,Ferentillo
Ferentillo – MappaPosizione del comune di Ferentillo all'interno della provincia di Terni,Ferentillo – MappaPosizione del comune di Ferentillo all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
