Calvi dell'Umbria comune,Calvi dell'Umbria comune.1
,
Calvi dell'Umbria – Veduta,Calvi dell'Umbria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Guido Grillini (lista civica) dal 31-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°24′05.16″N 12°34′03.31″E
Altitudine,401 m s.l.m.
Superficie,"45,79 km²"
Abitanti,1 663[1] (30-11-2025)
Densità,"36,32 ab./km²"
Frazioni,"Piloni, Poggiolo, Santa Maria della Neve[2]"
Comuni confinanti,"Configni (RI), Gallese (VT), Magliano Sabina (RI), Montebuono (RI), Narni, Otricoli, Stroncone, Torri in Sabina (RI), Vacone (RI)"
Altre informazioni,Altre informazioni
Cod. postale,05032
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055008
Cod. catastale,B446
Targa,TR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 095 GG[4]"
Nome abitanti,calvesi
Patrono,san Pancrazio
Cartografia,Cartografia
Calvi dell'Umbria,Calvi dell'Umbria
Calvi dell'Umbria – MappaPosizione del comune di Calvi dell'Umbria all'interno della provincia di Terni,Calvi dell'Umbria – MappaPosizione del comune di Calvi dell'Umbria all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
