Baschi comune,Baschi comune.1
,
Baschi – Veduta,Baschi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Damiano Bernardini (lista civica Insieme domani) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°40′12.82″N 12°12′58.52″E
Altitudine,165 m s.l.m.
Superficie,"68,57 km²"
Abitanti,2 546[1] (30-11-2025)
Densità,"37,13 ab./km²"
Frazioni,"Civitella del Lago, Morre, Cerreto, Morruzze, Acqualoreto, Collelungo, Scoppieto"
Comuni confinanti,"Montecchio, Orvieto, Todi (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05023
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055007
Cod. catastale,A691
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 665 GG[3]"
Nome abitanti,baschiesi
Patrono,san Longino e san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Baschi,Baschi
Baschi – MappaPosizione del comune di Baschi all'interno della provincia di Terni,Baschi – MappaPosizione del comune di Baschi all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
