Avigliano Umbro comune,Avigliano Umbro comune.1
,
Avigliano Umbro – Veduta,Avigliano Umbro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Luciano Conti (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,1975[1]
Territorio,Territorio
Coordinate,42°39′19.47″N 12°25′42.53″E
Altitudine,441 m s.l.m.
Superficie,"51,34 km²"
Abitanti,2 311[2] (30-11-2025)
Densità,"45,01 ab./km²"
Frazioni,"Dunarobba, Rena, Santa Restituta, Sismano, Toscolano"
Comuni confinanti,"Acquasparta, Amelia, Guardea, Montecastrilli, Montecchio, Todi (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05020
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055033
Cod. catastale,M258
Targa,TR
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 167 GG[4]"
Nome abitanti,aviglianesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Avigliano Umbro,Avigliano Umbro
Avigliano Umbro – MappaPosizione del comune di Avigliano Umbro all'interno della provincia di Terni,Avigliano Umbro – MappaPosizione del comune di Avigliano Umbro all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
