Lugnano in Teverina comune,Lugnano in Teverina comune.1
,
Lugnano in Teverina – VedutaPanorama di Lugnano in Teverina,Lugnano in Teverina – VedutaPanorama di Lugnano in Teverina
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Alessandro Dimiziani (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,42°34′27.54″N 12°19′49.97″E
Altitudine,440 m s.l.m.
Superficie,"29,83 km²"
Abitanti,1 388[1] (30-11-2025)
Densità,"46,53 ab./km²"
Comuni confinanti,"Alviano, Amelia, Attigliano, Graffignano (VT)"
Altre informazioni,Altre informazioni
Cod. postale,05020
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055016
Cod. catastale,E729
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 127 GG[3]"
Nome abitanti,lugnanesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Lugnano in Teverina,Lugnano in Teverina
Lugnano in Teverina – MappaPosizione del comune di Lugnano in Teverina all'interno della provincia di Terni,Lugnano in Teverina – MappaPosizione del comune di Lugnano in Teverina all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
