Monteleone d'Orvieto comune,Monteleone d'Orvieto comune.1
,
Monteleone d'Orvieto – Veduta,Monteleone d'Orvieto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Paolo Garofani (lista civica Monteleone attiva) dal 10-6-2024
Territorio,Territorio
Coordinate,42°54′59.21″N 12°03′05″E
Altitudine,485 m s.l.m.
Superficie,"24,1 km²"
Abitanti,1 363[1] (30-11-2025)
Densità,"56,56 ab./km²"
Frazioni,"Colle, San Lorenzo, Santa Maria, Spiazzolino, Volpara"
Comuni confinanti,"Città della Pieve (PG), Fabro, Montegabbione, Piegaro (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05017
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055021
Cod. catastale,F543
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 275 GG[3]"
Nome abitanti,monteleonesi
Patrono,san Teodoro e santi Apostoli Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Monteleone d'Orvieto,Monteleone d'Orvieto
Monteleone d'Orvieto – MappaPosizione del comune di Monteleone d'Orvieto all'interno della provincia di Terni,Monteleone d'Orvieto – MappaPosizione del comune di Monteleone d'Orvieto all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
