Giove comune,Giove comune.1
,
Giove – VedutaCastello di Giove,Giove – VedutaCastello di Giove
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Marco Morresi (lista civica) dal 20-9-2020
Territorio,Territorio
Coordinate,42°30′33.45″N 12°19′30.93″E
Altitudine,292 m s.l.m.
Superficie,"15,09 km²"
Abitanti,1 831[1] (30-11-2025)
Densità,"121,34 ab./km²"
Comuni confinanti,"Amelia, Attigliano, Bassano in Teverina (VT), Bomarzo (VT), Orte (VT), Penna in Teverina"
Altre informazioni,Altre informazioni
Cod. postale,05024
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055014
Cod. catastale,E045
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 896 GG[3]"
Nome abitanti,giovesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Giove,Giove
Giove – MappaPosizione del comune di Giove all'interno della provincia di Terni,Giove – MappaPosizione del comune di Giove all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
