Amelia comune,Amelia comune.1
,
Amelia – Veduta,Amelia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Avio Proietti Scorsoni (lista civica di centro-destra) dal 26-5-2025
Territorio,Territorio
Coordinate,42°33′31.9″N 12°24′43.15″E
Altitudine,370 m s.l.m.
Superficie,"132,5 km²"
Abitanti,11 400[1] (30-11-2025)
Densità,"86,04 ab./km²"
Frazioni,"Collicello, Foce, Fornole, Macchie, Montecampano, Porchiano del Monte, Sambucetole"
Comuni confinanti,"Alviano, Attigliano, Avigliano Umbro, Giove, Guardea, Lugnano in Teverina, Montecastrilli, Narni, Orte (VT), Penna in Teverina"
Altre informazioni,Altre informazioni
Cod. postale,05022
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055004
Cod. catastale,A262
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 038 GG[3]"
Nome abitanti,amerini
Patrono,santa Fermina
Giorno festivo,24 novembre
Cartografia,Cartografia
Amelia,Amelia
Amelia – MappaPosizione del comune di Amelia all'interno della provincia di Terni,Amelia – MappaPosizione del comune di Amelia all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
