Stroncone comune,Stroncone comune.1
,
Stroncone – Veduta,Stroncone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Giuseppe Malvetani (lista civica Stroncone riparte) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°29′53.68″N 12°39′45.86″E
Altitudine,450 m s.l.m.
Superficie,"71,17 km²"
Abitanti,4 616[1] (30-11-2025)
Densità,"64,86 ab./km²"
Frazioni,"Aguzzo, Coppe, Finocchieto, I Prati, Vasciano, Cimitelle"
Comuni confinanti,"Calvi dell'Umbria, Configni (RI), Cottanello (RI), Greccio (RI), Narni, Otricoli, Rieti (RI), Terni"
Altre informazioni,Altre informazioni
Cod. postale,05039
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055031
Cod. catastale,I981
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 186 GG[3]"
Nome abitanti,stroncolini o stronconesi
Patrono,beato Antonio da Stroncone
Giorno festivo,7 febbraio
Cartografia,Cartografia
Stroncone,Stroncone
Stroncone – MappaPosizione del comune di Stroncone all'interno della provincia di Terni,Stroncone – MappaPosizione del comune di Stroncone all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
