Montecastrilli comune,Montecastrilli comune.1
,
Montecastrilli – Veduta,Montecastrilli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Riccardo Aquilini (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°38′59.43″N 12°29′16.22″E
Altitudine,391 m s.l.m.
Superficie,"62,43 km²"
Abitanti,4 789[1] (30-11-2025)
Densità,"76,71 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Acquasparta, Amelia, Avigliano Umbro, Guardea, Narni, San Gemini, Terni"
Altre informazioni,Altre informazioni
Cod. postale,05026
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055017
Cod. catastale,F457
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 076 GG[3]"
Nome abitanti,montecastrillesi
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Montecastrilli,Montecastrilli
Montecastrilli – MappaPosizione del comune di Montecastrilli all'interno della provincia di Terni,Montecastrilli – MappaPosizione del comune di Montecastrilli all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
