Ficulle comune,Ficulle comune.1
,
Ficulle – VedutaVeduta di Ficulle,Ficulle – VedutaVeduta di Ficulle
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Gianluigi Maravalle (lista civica CambiaMenti Ficulle) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°50′09.88″N 12°03′58.41″E
Altitudine,437 m s.l.m.
Superficie,"64,62 km²"
Abitanti,1 548[1] (30-11-2025)
Densità,"23,96 ab./km²"
Frazioni,"Olevole, Sala"
Comuni confinanti,"Allerona, Fabro, Montegabbione, Orvieto, Parrano, San Venanzo"
Altre informazioni,Altre informazioni
Cod. postale,05016
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055013
Cod. catastale,D570
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 160 GG[3]"
Nome abitanti,ficullesi
Patrono,sant'Eumenio
Giorno festivo,18 settembre
Cartografia,Cartografia
Ficulle,Ficulle
Ficulle – MappaPosizione del comune di Ficulle all'interno della provincia di Terni,Ficulle – MappaPosizione del comune di Ficulle all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
