Terni comune,Terni comune.1
,
Terni – VedutaTorre Barbarasa,Terni – VedutaTorre Barbarasa
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Stefano Bandecchi (AP) dal 29-5-2023
Territorio,Territorio
Coordinate,42°33′38.78″N 12°38′48.42″E
Altitudine,130 m s.l.m.
Superficie,"212,43 km²"
Abitanti,106 328[1] (30-11-2025)
Densità,"500,53 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acquasparta, Arrone, Colli sul Velino (RI), Labro (RI), Montecastrilli, Montefranco, Narni, Rieti (RI), San Gemini, Spoleto (PG), Stroncone"
Altre informazioni,Altre informazioni
Cod. postale,05100
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055032
Cod. catastale,L117
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 650 GG[3]"
Nome abitanti,ternani
Patrono,san Valentino[4]
Giorno festivo,14 febbraio
Cartografia,Cartografia
Terni,Terni
Terni – MappaPosizione del comune di Terni all'interno della provincia omonima,Terni – MappaPosizione del comune di Terni all'interno della provincia omonima
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
