Fabro comune,Fabro comune.1
,
Fabro – Veduta,Fabro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Simone Barbanera (lista civica Impegno comune) dal 10-6-2024
Territorio,Territorio
Coordinate,42°51′48.07″N 12°00′46.71″E
Altitudine,364 m s.l.m.
Superficie,"34,55 km²"
Abitanti,2 566[1] (30-11-2025)
Densità,"74,27 ab./km²"
Frazioni,"Carnaiola, Fabro Scalo, Poggiovalle"
Comuni confinanti,"Allerona, Cetona (SI), Città della Pieve (PG), Ficulle, Montegabbione, Monteleone d'Orvieto, San Casciano dei Bagni (SI)"
Altre informazioni,Altre informazioni
Cod. postale,05015
Prefisso,0763; 0578 (limitatamente alla frazione di Poggiovalle)
Fuso orario,UTC+1
Codice ISTAT,055011
Cod. catastale,D454
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 027 GG[3]"
Nome abitanti,fabresi
Patrono,san Martino
Giorno festivo,11 novembre
PIL,(nominale) 20
PIL procapite,(nominale) 1
Cartografia,Cartografia
Fabro,Fabro
Fabro – MappaPosizione del comune di Fabro all'interno della provincia di Terni,Fabro – MappaPosizione del comune di Fabro all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
