Provincia di Terni provincia,Provincia di Terni provincia.1
,
"Provincia di Terni – VedutaPalazzo Bazzani, sede della Provincia.","Provincia di Terni – VedutaPalazzo Bazzani, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Amministrazione,Amministrazione
Capoluogo,Terni
Presidente,Stefano Bandecchi (AP) dal 30-3-2025
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,42°34′N 12°39′E
Superficie,"2 127,18 km²"
Abitanti,214 734[1] (30-11-2025)
Densità,"100,95 ab./km²"
Comuni,33 comuni
Province confinanti,"Perugia, Rieti, Viterbo, Siena"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,"05100, 05010-05039"
Prefisso,"075, 0744, 0763"
Fuso orario,UTC+1
ISO 3166-2,IT-TR
Codice ISTAT,055
Targa,TR
Cartografia,Cartografia
Provincia di Terni – Localizzazione,Provincia di Terni – Localizzazione
Provincia di Terni – MappaPosizione della provincia di Terni all'interno dell'Umbria.,Provincia di Terni – MappaPosizione della provincia di Terni all'interno dell'Umbria.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
