San Venanzo comune,San Venanzo comune.1
,
San Venanzo – VedutaVisuale del paese.,San Venanzo – VedutaVisuale del paese.
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Marsilio Marinelli (PD) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°52′08.93″N 12°15′59.37″E
Altitudine,465 m s.l.m.
Superficie,"169,45 km²"
Abitanti,2 111[1] (30-11-2025)
Densità,"12,46 ab./km²"
Frazioni,"Civitella dei Conti, Collelungo, Ospedaletto, Poggio Spaccato, Poggio Aquilone, Pornello, Ripalvella, Rotecastello, San Marino, San Vito in Monte"
Comuni confinanti,"Ficulle, Fratta Todina (PG), Marsciano (PG), Monte Castello di Vibio (PG), Montegabbione, Orvieto, Parrano, Piegaro (PG), Todi (PG)"
Altre informazioni,Altre informazioni
Cod. postale,05010
Prefisso,075
Fuso orario,UTC+1
Codice ISTAT,055030
Cod. catastale,I381
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 211 GG[3]"
Nome abitanti,sanvenanzesi
Patrono,santo Venanzio
Giorno festivo,18 maggio
Cartografia,Cartografia
San Venanzo,San Venanzo
San Venanzo – MappaPosizione del comune di San Venanzo all'interno della provincia di Terni,San Venanzo – MappaPosizione del comune di San Venanzo all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
