Arrone comune,Arrone comune.1
,
Arrone – Veduta,Arrone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Fabio Di Gioia (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°34′58.21″N 12°46′08.97″E
Altitudine,243 m s.l.m.
Superficie,"41,04 km²"
Abitanti,2 501[1] (30-11-2025)
Densità,"60,94 ab./km²"
Frazioni,"Buonacquisto, Casteldilago, Castiglioni, Colleluccio, Vallefredda, Colle Sant'Angelo, Palombare, Rosciano, Tripozzo, Vallecupa, Valleludra, Ambresciano, Colleporto"
Comuni confinanti,"Ferentillo, Labro (RI), Montefranco, Morro Reatino (RI), Polino, Terni"
Altre informazioni,Altre informazioni
Cod. postale,05031
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055005
Cod. catastale,A439
Targa,TR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 800 GG[3]"
Nome abitanti,arronesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Arrone,Arrone
Arrone – MappaPosizione del comune di Arrone all'interno della provincia di Terni,Arrone – MappaPosizione del comune di Arrone all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
