Porano comune,Porano comune.1
,
Porano – Veduta,Porano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Marco Conticelli (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°41′14.07″N 12°06′07.66″E
Altitudine,444 m s.l.m.
Superficie,"13,6 km²"
Abitanti,1 816[1] (30-11-2025)
Densità,"133,53 ab./km²"
Comuni confinanti,"Lubriano (VT), Orvieto"
Altre informazioni,Altre informazioni
Cod. postale,05010
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055028
Cod. catastale,G881
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 173 GG[3]"
Nome abitanti,poranesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Porano,Porano
Porano – MappaPosizione del comune di Porano all'interno della provincia di Terni,Porano – MappaPosizione del comune di Porano all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
