Allerona comune,Allerona comune.1
,
Allerona – Veduta,Allerona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Luca Cupello (lista civica di centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,42°48′41.46″N 11°58′25.68″E
Altitudine,472 m s.l.m.
Superficie,"82,61 km²"
Abitanti,1 679[1] (30-11-2025)
Densità,"20,32 ab./km²"
Frazioni,"Allerona Scalo, San Pietro Acquaeortus"
Comuni confinanti,"Acquapendente (VT), Castel Viscardo, Città della Pieve (PG), Fabro, Ficulle, Orvieto, San Casciano dei Bagni (SI)"
Altre informazioni,Altre informazioni
Cod. postale,05011
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055002
Cod. catastale,A207
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 173 GG[3]"
Nome abitanti,alleronesi
Patrono,sant'Ansano
Giorno festivo,1º dicembre
Cartografia,Cartografia
Allerona,Allerona
Allerona – MappaPosizione del comune di Allerona all'interno della provincia di Terni,Allerona – MappaPosizione del comune di Allerona all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
