Polino comune,Polino comune.1
,
Polino – Veduta,Polino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Remigio Venanzi (Lega) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°35′05.58″N 12°50′38.14″E
Altitudine,836 m s.l.m.
Superficie,"19,57 km²"
Abitanti,235[1] (30-11-2025)
Densità,"12,01 ab./km²"
Comuni confinanti,"Arrone, Ferentillo, Leonessa (RI), Morro Reatino (RI), Rivodutri (RI)"
Altre informazioni,Altre informazioni
Cod. postale,05030
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055027
Cod. catastale,G790
Targa,TR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 886 GG[3]"
Nome abitanti,polinesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Polino,Polino
Polino – MappaPosizione del comune di Polino all'interno della provincia di Terni,Polino – MappaPosizione del comune di Polino all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
