Guardea comune,Guardea comune.1
,
Guardea – Veduta,Guardea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Giampiero Lattanzi (lista civica Per Guardea - Costruire il futuro) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°37′24.91″N 12°17′49.78″E
Altitudine,387 m s.l.m.
Superficie,"39,38 km²"
Abitanti,1 714[1] (30-11-2025)
Densità,"43,52 ab./km²"
Frazioni,"Cocciano, Frattuccia, Madonna del Porto, Poggio"
Comuni confinanti,"Alviano, Amelia, Orvieto, Avigliano Umbro, Civitella d'Agliano (VT), Montecastrilli, Montecchio"
Altre informazioni,Altre informazioni
Cod. postale,05025
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055015
Cod. catastale,E241
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 069 GG[3]"
Nome abitanti,guardeesi
Patrono,beato Pascuccio
Giorno festivo,seconda domenica del mese di giugno
Cartografia,Cartografia
Guardea,Guardea
Guardea – MappaPosizione del comune di Guardea all'interno della provincia di Terni,Guardea – MappaPosizione del comune di Guardea all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
