Montefranco comune,Montefranco comune.1
,
Montefranco – Veduta,Montefranco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Rachele Taccalozzi (lista civica di centro-sinistra) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°35′49.47″N 12°45′58.68″E
Altitudine,414 m s.l.m.
Superficie,"10,09 km²"
Abitanti,1 245[1] (30-11-2025)
Densità,"123,39 ab./km²"
Frazioni,"Fontechiaruccia, Montemoro, Monzano, Vaccheria, Varcone"
Comuni confinanti,"Arrone, Ferentillo, Spoleto (PG), Terni"
Altre informazioni,Altre informazioni
Cod. postale,05030
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055019
Cod. catastale,F510
Targa,TR
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 2 047 GG[3]"
Nome abitanti,montefrancani
Patrono,"san Pietro, san Bernardino"
Giorno festivo,"29 aprile, 20 maggio"
Cartografia,Cartografia
Montefranco,Montefranco
Montefranco – MappaPosizione del comune di Montefranco all'interno della provincia di Terni,Montefranco – MappaPosizione del comune di Montefranco all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
