Narni comune,Narni comune.1
,
Narni – VedutaNarni vista dall'alto,Narni – VedutaNarni vista dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Lorenzo Lucarelli (PD) dal 13-6-2022
Territorio,Territorio
Coordinate,42°31′09.47″N 12°30′54.5″E
Altitudine,240 m s.l.m.
Superficie,"197,99 km²"
Abitanti,17 629[1] (30-11-2025)
Densità,"89,04 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Amelia, Calvi dell'Umbria, Montecastrilli, Orte (VT), Otricoli, San Gemini, Stroncone, Terni"
Altre informazioni,Altre informazioni
Cod. postale,05035 - 05036
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055022
Cod. catastale,F844
Targa,TR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 802 GG[3]"
Nome abitanti,narnesi
Patrono,san Giovenale e san Cassio
Giorno festivo,"3 maggio, 4 luglio"
Cartografia,Cartografia
Narni,Narni
Narni – MappaPosizione del comune di Narni all'interno della provincia di Terni,Narni – MappaPosizione del comune di Narni all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
