Montegabbione comune,Montegabbione comune.1
,
Montegabbione – Veduta,Montegabbione – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Sebastiano Caravaggi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°55′17.81″N 12°05′33.72″E
Altitudine,594 m s.l.m.
Superficie,"51,06 km²"
Abitanti,1 094[1] (30-11-2025)
Densità,"21,43 ab./km²"
Frazioni,"Castel de' Fiori, Faiolo, Montegiove"
Comuni confinanti,"Fabro, Ficulle, Monteleone d'Orvieto, Parrano, Piegaro (PG), San Venanzo"
Altre informazioni,Altre informazioni
Cod. postale,05010
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,055020
Cod. catastale,F513
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 446 GG[3]"
Nome abitanti,montegabbionesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Montegabbione,Montegabbione
Montegabbione – MappaPosizione del comune di Montegabbione all'interno della provincia di Terni,Montegabbione – MappaPosizione del comune di Montegabbione all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
