Penna in Teverina comune,Penna in Teverina comune.1
,
Penna in Teverina – Veduta,Penna in Teverina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Umbria
Provincia,Terni
Amministrazione,Amministrazione
Sindaco,Stefano Paoluzzi (lista civica) dal 26-5-2014 3 mandato dal 09-06-2024 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°29′32.68″N 12°21′19.65″E
Altitudine,302 m s.l.m.
Superficie,10 km²
Abitanti,1 025[1] (30-11-2025)
Densità,"102,5 ab./km²"
Comuni confinanti,"Amelia, Giove, Orte (VT)"
Altre informazioni,Altre informazioni
Cod. postale,05028
Prefisso,0744
Fuso orario,UTC+1
Codice ISTAT,055026
Cod. catastale,G432
Targa,TR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 914 GG[3]"
Nome abitanti,pennesi
Patrono,san Valentino Madonna della Neve
Giorno festivo,"14 febbraio, 5 agosto"
Cartografia,Cartografia
Penna in Teverina,Penna in Teverina
Penna in Teverina – MappaPosizione del comune di Penna in Teverina all'interno della provincia di Terni,Penna in Teverina – MappaPosizione del comune di Penna in Teverina all'interno della provincia di Terni
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
