Villagrande Strisaili comune,Villagrande Strisaili comune.1
(IT) Villagrande Strisaili (SC) Biddamànna iStrisàili,(IT) Villagrande Strisaili (SC) Biddamànna iStrisàili
,
Villagrande Strisaili – Veduta,Villagrande Strisaili – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Alessio Seoni (lista civica) dal 16-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°57′30.73″N 9°30′28.73″E
Altitudine,700 m s.l.m.
Superficie,"210,35 km²"
Abitanti,2 837[1] (30-11-2025)
Densità,"13,49 ab./km²"
Frazioni,Villanova Strisaili
Comuni confinanti,"Arzana, Desulo (NU), Fonni (NU), Girasole, Lotzorai, Orgosolo (NU), Talana, Ulassai, Tortolì"
Altre informazioni,Altre informazioni
Cod. postale,08049
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091101
Cod. catastale,L953
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) villagrandesi (SC) biddamannesos
Patrono,san Gabriele Arcangelo
Giorno festivo,1º agosto
Cartografia,Cartografia
Villagrande Strisaili,Villagrande Strisaili
Villagrande Strisaili – MappaPosizione del comune di Villagrande Strisaili nella provincia dell'Ogliastra,Villagrande Strisaili – MappaPosizione del comune di Villagrande Strisaili nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
