Cardedu comune,Cardedu comune.1
(IT) Cardedu (SC) Cardèdu,(IT) Cardedu (SC) Cardèdu
,
Cardedu – VedutaLa spiaggia di Sa perda e pera,Cardedu – VedutaLa spiaggia di Sa perda e pera
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Marcello Vacca (lista civica) dal 10-6-2025
Territorio,Territorio
Coordinate,39°47′47.53″N 9°37′36.37″E
Altitudine,19 m s.l.m.
Superficie,"33,39 km²"
Abitanti,2 003[1] (30-11-2025)
Densità,"59,99 ab./km²"
Comuni confinanti,"Bari Sardo, Gairo, Jerzu, Lanusei, Osini, Tertenia"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091103
Cod. catastale,M285
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) cardedesi (SC) cardedesus
Cartografia,Cartografia
Cardedu,Cardedu
Cardedu – MappaPosizione del comune di Cardedu nella provincia dell'Ogliastra,Cardedu – MappaPosizione del comune di Cardedu nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
