Perdasdefogu comune,Perdasdefogu comune.1
(IT) Perdasdefogu (SC) Foghèsu,(IT) Perdasdefogu (SC) Foghèsu
,
Perdasdefogu – VedutaScorcio dell'abitato,Perdasdefogu – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Bruno Chillotti (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°40′47.91″N 9°26′24.63″E
Altitudine,599[1] m s.l.m.
Superficie,"77,75 km²"
Abitanti,1 693[2] (30-11-2025)
Densità,"21,77 ab./km²"
Comuni confinanti,"Escalaplano (CA), Seui (isola amministrativa di Orboredu), Ulassai, Villaputzu (CA)"
Altre informazioni,Altre informazioni
Cod. postale,08046
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091072
Cod. catastale,G445
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Nome abitanti,"(IT) foghesi, foghesini (SC) foghesus"
Cartografia,Cartografia
Perdasdefogu,Perdasdefogu
Perdasdefogu – MappaPosizione del comune di Perdasdefogu nella provincia dell'Ogliastra,Perdasdefogu – MappaPosizione del comune di Perdasdefogu nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
