Loceri comune,Loceri comune.1
,
Loceri – Veduta,Loceri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Gianfranco Lecca (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°51′27.27″N 9°34′58.79″E
Altitudine,206 m s.l.m.
Superficie,"19,37 km²"
Abitanti,1 346[1] (30-11-2025)
Densità,"69,49 ab./km²"
Comuni confinanti,"Bari Sardo, Ilbono, Lanusei, Osini (isola amministrativa di Sa Tuvada), Tertenia"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091039
Cod. catastale,E644
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) loceresi (SC) loceresus
Cartografia,Cartografia
Loceri,Loceri
Loceri – MappaPosizione del comune di Loceri nella provincia dell'Ogliastra,Loceri – MappaPosizione del comune di Loceri nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
