Girasole comune,Girasole comune.1
(IT) Girasole (SC) Gelisùli,(IT) Girasole (SC) Gelisùli
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Lodovico Piras (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°57′07.38″N 9°39′39.53″E
Altitudine,8 m s.l.m.
Superficie,"13,16 km²"
Abitanti,1 371[1] (30-11-2025)
Densità,"104,18 ab./km²"
Comuni confinanti,"Lotzorai, Tortolì, Villagrande Strisaili"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091031
Cod. catastale,E049
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) girasolesi (SC) gelisulesus
Patrono,Madonna di Monserrato
Giorno festivo,8 settembre
Cartografia,Cartografia
Girasole,Girasole
Girasole – MappaPosizione del comune di Girasole nella provincia dell'Ogliastra,Girasole – MappaPosizione del comune di Girasole nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
