Elini comune,Elini comune.1
"(IT, SC) Elini","(IT, SC) Elini"
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Vitale Pili (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,39°53′58.19″N 9°31′50.61″E
Altitudine,472 m s.l.m.
Superficie,"10,65 km²"
Abitanti,555[1] (30-11-2025)
Densità,"52,11 ab./km²"
Comuni confinanti,"Arzana, Ilbono, Lanusei, Tortolì"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091019
Cod. catastale,D395
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) elinesi (SC) elinesus
Cartografia,Cartografia
Elini,Elini
Elini – MappaPosizione del comune di Elini nella provincia dell'Ogliastra,Elini – MappaPosizione del comune di Elini nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
