Bari Sardo comune,Bari Sardo comune.1
(IT) Bari Sardo (SC) Barì,(IT) Bari Sardo (SC) Barì
,
Bari Sardo – VedutaChiesa di Nostra Signora di Monserrato,Bari Sardo – VedutaChiesa di Nostra Signora di Monserrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Ivan Mameli (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,39°50′28.91″N 9°38′49.91″E
Altitudine,51 m s.l.m.
Superficie,"37,43 km²"
Abitanti,3 779[1] (30-11-2025)
Densità,"100,96 ab./km²"
Frazioni,"Cea, Torre di Barì"
Comuni confinanti,"Cardedu, Ilbono, Lanusei, Loceri, Tortolì"
Altre informazioni,Altre informazioni
Cod. postale,08042
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091005
Cod. catastale,A663
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) bariesi (SC) bariesus
Patrono,Beata Vergine del Monserrato
Giorno festivo,8 settembre
Cartografia,Cartografia
Bari Sardo,Bari Sardo
Bari Sardo – MappaPosizione del comune di Bari Sardo all'interno della provincia dell'Ogliastra,Bari Sardo – MappaPosizione del comune di Bari Sardo all'interno della provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
