Osini comune,Osini comune.1
"(IT, SC) Osini","(IT, SC) Osini"
,
Osini – Veduta,Osini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Alfredo Cannas (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,39°49′20.81″N 9°29′48.1″E
Altitudine,645 m s.l.m.
Superficie,"39,81 km²"
Abitanti,681[1] (30-11-2025)
Densità,"17,11 ab./km²"
Comuni confinanti,"Cardedu, Gairo, Jerzu, Lanusei, Loceri, Tertenia, Ulassai, Ussassai"
Altre informazioni,Altre informazioni
Cod. postale,08040
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,091069
Cod. catastale,G158
Targa,OG
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) osinesi (SC) osinesus
Patrono,santa Susanna
Giorno festivo,11 agosto
Cartografia,Cartografia
Osini,Osini
Osini – MappaPosizione del comune di Osini nella provincia dell'Ogliastra,Osini – MappaPosizione del comune di Osini nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
