Seui comune,Seui comune.1
(IT) Seui (SC) Seùi,(IT) Seui (SC) Seùi
,
Seui – Veduta,Seui – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Ogliastra
Amministrazione,Amministrazione
Sindaco,Fabio Moi (lista civica) dal 29-5-2023
Territorio,Territorio
Coordinate,39°50′18.94″N 9°19′27.49″E
Altitudine,820 m s.l.m.
Superficie,"148,21 km²"
Abitanti,1 139[1] (30-11-2025)
Densità,"7,69 ab./km²"
Comuni confinanti,"Arzana, Escalaplano (CA), Esterzili (CA), Gairo, Perdasdefogu, Sadali (CA), Seulo (NU), Ulassai, Ussassai"
Altre informazioni,Altre informazioni
Cod. postale,09064
Prefisso,0782
Fuso orario,UTC+1
Codice ISTAT,111081
Cod. catastale,I706
Targa,CA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,seuesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Seui,Seui
Seui – MappaPosizione del comune di Seui nella provincia dell'Ogliastra,Seui – MappaPosizione del comune di Seui nella provincia dell'Ogliastra
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
