Provincia dell'Ogliastra provincia,Provincia dell'Ogliastra provincia.1
,
"Provincia dell'Ogliastra – VedutaLe Rocce Rosse di Arbatax, nella città di Tortolì","Provincia dell'Ogliastra – VedutaLe Rocce Rosse di Arbatax, nella città di Tortolì"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Amministrazione,Amministrazione
Capoluogo,Tortolì Lanusei
Presidente,Alessio Seoni (PSd’Az) dal 29-9-2025
Data di istituzione,16 aprile 2021[1]
Territorio,Territorio
Coordinate del capoluogo,39°51′59.9″N 9°33′00″E
Superficie,"1 854,55 km²"
Abitanti,57 275[2] (31-3-2016)
Densità,"30,88 ab./km²"
Comuni,23 comuni
Province confinanti,"Nuoro, Cagliari"
Altre informazioni,Altre informazioni
Cod. postale,"08045 (Lanusei) 08048 (Tortolì) 08040-08049, 09064 (altri comuni)"
Prefisso,0782
Fuso orario,UTC+1
ISO 3166-2,IT-OG
Codice ISTAT,116 (dal 2025) 105 (fino al 2025)
Targa,OG
Cartografia,Cartografia
Provincia dell'Ogliastra – Localizzazione,Provincia dell'Ogliastra – Localizzazione
Provincia dell'Ogliastra – MappaPosizione della provincia dell'Ogliastra all'interno della Sardegna,Provincia dell'Ogliastra – MappaPosizione della provincia dell'Ogliastra all'interno della Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
