San Vitaliano comune,San Vitaliano comune.1
,
San Vitaliano – VedutaVeduta,San Vitaliano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Commissario prefettizio
Territorio,Territorio
Coordinate,40°56′N 14°29′E
Altitudine,30 m s.l.m.
Superficie,"5,5 km²"
Abitanti,6 582[1] (30-11-2025)
Densità,"1 196,73 ab./km²"
Frazioni,Frascatoli
Comuni confinanti,"Marigliano, Nola, Saviano, Scisciano"
Altre informazioni,Altre informazioni
Cod. postale,80030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063075
Cod. catastale,I391
Targa,
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 014 GG[3]"
Nome abitanti,sanvitalianesi
Patrono,san Vitaliano di Capua
Giorno festivo,16 luglio
Cartografia,Cartografia
San Vitaliano,San Vitaliano
San Vitaliano – MappaPosizione del comune di San Vitaliano nella città metropolitana di Napoli,San Vitaliano – MappaPosizione del comune di San Vitaliano nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
