Casavatore comune,Casavatore comune.1
,
Casavatore – Veduta,Casavatore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Fabrizio Celaj (PD) dal 26-5-2025
Data di istituzione,30 giugno 1946[1]
Territorio,Territorio
Coordinate,40°53′53.32″N 14°16′34.4″E
Altitudine,80 m s.l.m.
Superficie,"1,53[2] km²"
Abitanti,18 221[3] (30-11-2025)
Densità,"11 909,15 ab./km²"
Comuni confinanti,"Arzano, Casoria, Napoli"
Altre informazioni,Altre informazioni
Cod. postale,80020
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063021
Cod. catastale,B946
Targa,
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona C, 1 279 GG[5]"
Nome abitanti,casavatoresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Casavatore,Casavatore
Casavatore – MappaPosizione del comune di Casavatore nella città metropolitana di Napoli,Casavatore – MappaPosizione del comune di Casavatore nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
