Sant'Agnello comune,Sant'Agnello comune.1
,
Sant'Agnello – Veduta,Sant'Agnello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Città metropolitana,Napoli
Amministrazione,Amministrazione
Sindaco,Antonino Coppola (lista civica Sant'Agnello autentica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°37′45.91″N 14°23′58.45″E
Altitudine,67 m s.l.m.
Superficie,"4,15 km²"
Abitanti,8 426[1] (30-11-2025)
Densità,"2 030,36 ab./km²"
Frazioni,"Colli di Fontanelle, Trasaella"
Comuni confinanti,"Piano di Sorrento, Sorrento"
Altre informazioni,Altre informazioni
Cod. postale,80065
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,063071
Cod. catastale,I208
Targa,
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 135 GG[3]"
Nome abitanti,santanellesi
Patrono,"san Prisco di Nocera, sant'Agnello abate"
Giorno festivo,"9 maggio, 14 dicembre"
Cartografia,Cartografia
Sant'Agnello,Sant'Agnello
Sant'Agnello – MappaPosizione del comune di Sant'Agnello nella città metropolitana di Napoli,Sant'Agnello – MappaPosizione del comune di Sant'Agnello nella città metropolitana di Napoli
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
